flgs,proto,pkts,bytes,dur,mean,stddev,sum,min,max,rate,category
e,tcp,10,680,1453.945923,2.8e-05,8e-06,0.000138,2.2e-05,4.2e-05,0.00619,Normal
e,udp,2,180,0.048565,0.048565,0.0,0.048565,0.048565,0.048565,20.59096,Normal
e,udp,4,630,569.93396,0.098505,0.08015,0.197011,0.018356,0.178655,0.005264,Normal
e,udp,2,172,2.500101,0.0,0.0,0.0,0.0,0.0,0.399984,Normal
e,udp,2,172,2.501101,0.0,0.0,0.0,0.0,0.0,0.399824,Normal
e,udp,4,1086,728.37085,7.7e-05,1.6e-05,0.000154,6.1e-05,9.3e-05,0.004119,Normal
e,udp,2,172,0.007523,0.007523,0.0,0.007523,0.007523,0.007523,132.925705,Normal
e,udp,2,172,2.501218,0.0,0.0,0.0,0.0,0.0,0.399805,Normal
e,udp,2,172,0.007698,0.007698,0.0,0.007698,0.007698,0.007698,129.90387,Normal
e,udp,2,172,2.501009,0.0,0.0,0.0,0.0,0.0,0.399839,Normal
e,udp,2,172,0.007226,0.007226,0.0,0.007226,0.007226,0.007226,138.389145,Normal
e,udp,2,120,0.01005,0.01005,0.0,0.01005,0.01005,0.01005,99.502487,Normal
e,udp,2,120,0.010045,0.010045,0.0,0.010045,0.010045,0.010045,99.55201,Normal
e,udp,2,156,0.010024,0.010024,0.0,0.010024,0.010024,0.010024,99.760574,Normal
e,udp,2,156,0.010023,0.010023,0.0,0.010023,0.010023,0.010023,99.770531,Normal
e,udp,2,172,0.007666,0.007666,0.0,0.007666,0.007666,0.007666,130.446121,Normal
e,udp,1,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Normal
e,udp,1,79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Normal
e,udp,2,172,2.500902,0.0,0.0,0.0,0.0,0.0,0.399856,Normal
e,udp,2,172,2.500109,0.0,0.0,0.0,0.0,0.0,0.399983,Normal
e,udp,2,172,2.501172,0.0,0.0,0.0,0.0,0.0,0.399813,Normal
e,udp,2,172,0.00725,0.00725,0.0,0.00725,0.00725,0.00725,137.931046,Normal
e,udp,2,172,0.007168,0.007168,0.0,0.007168,0.007168,0.007168,139.508926,Normal
e,udp,2,172,2.500985,0.0,0.0,0.0,0.0,0.0,0.399842,Normal
e,udp,2,172,0.00743,0.00743,0.0,0.00743,0.00743,0.00743,134.589493,Normal
e,udp,2,172,0.00745,0.00745,0.0,0.00745,0.00745,0.00745,134.228195,Normal
e,udp,29726,28543568,1685.706909,4.947334,0.231518,1662.304321,0.710964,4.991788,17.633553,Normal
e,tcp,30157,28898696,1685.706909,4.947345,0.231582,1662.307983,0.710952,4.991786,17.889231,Normal
e,tcp,10056,2976576,1686.122192,4.832168,0.230037,1623.608521,0.655978,4.999866,5.963387,Normal
e,udp,16326,979560,1685.973267,4.893885,0.231947,1644.345215,0.655978,4.999755,9.682835,Normal
e,tcp,18431,17131488,1685.80896,4.898582,0.235357,1645.92334,0.598172,4.999866,10.932437,Normal
e,tcp,3018,682915,1679.588989,3.947982,1.272364,1314.677856,1.51683,4.999982,1.796273,Normal
e &,tcp,59453,60884536,1685.706909,4.947914,0.228494,1662.499146,0.768694,4.999863,35.268291,Normal
e,udp,59452,59114121,1685.706909,4.947584,0.231615,1662.388062,0.710969,4.999863,35.267696,Normal
e,udp,2,333,0.215891,0.215891,0.0,0.215891,0.215891,0.215891,4.631967,Normal
e,udp,2,366,0.27849,0.27849,0.0,0.27849,0.27849,0.27849,3.590793,Normal
e,udp,2,1295,0.031651,0.031651,0.0,0.031651,0.031651,0.031651,31.594578,Normal
e,udp,2,1209,0.031568,0.031568,0.0,0.031568,0.031568,0.031568,31.67765,Normal
e,udp,2,885,0.164368,0.164368,0.0,0.164368,0.164368,0.164368,6.083909,Normal
e,udp,2,323,0.291631,0.291631,0.0,0.291631,0.291631,0.291631,3.428991,Normal
e,udp,2,419,0.009295,0.009295,0.0,0.009295,0.009295,0.009295,107.584724,Normal
e,udp,2,1290,0.016084,0.016084,0.0,0.016084,0.016084,0.016084,62.173588,Normal
e,udp,2,883,0.16424,0.16424,0.0,0.16424,0.16424,0.16424,6.088651,Normal
e,tcp,32,6689,61.740784,0.292655,0.331883,2.048587,0.15452,1.105515,0.502099,Normal
e,udp,2,500,900.022827,0.0,0.0,0.0,0.0,0.0,0.001111,Normal
e,udp,2,201,0.180337,0.180337,0.0,0.180337,0.180337,0.180337,5.545174,Normal
e,udp,2,1301,0.015493,0.015493,0.0,0.015493,0.015493,0.015493,64.54528,Normal
e,udp,2,1401,0.01513,0.01513,0.0,0.01513,0.01513,0.01513,66.093849,Normal
e,udp,2,891,0.164297,0.164297,0.0,0.164297,0.164297,0.164297,6.086538,Normal
e,tcp,40,7431,171.097824,0.103549,0.13648,0.414195,0.006026,0.338744,0.22794,Normal
e,udp,1,107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Normal
e,udp,1,87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Normal
e,udp,1,107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Normal
e,udp,1,87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Normal
e,udp,1,87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Normal
e,udp,1,107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Normal
e,udp,2,180,0.048705,0.048705,0.0,0.048705,0.048705,0.048705,20.531773,Normal
e,udp,2,180,0.048645,0.048645,0.0,0.048645,0.048645,0.048645,20.557096,Normal
e,ipv6-icmp,1,70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Normal
e,udp,2,180,0.00697,0.00697,0.0,0.00697,0.00697,0.00697,143.472031,Normal
e,udp,2,180,0.223549,0.223549,0.0,0.223549,0.223549,0.223549,4.473292,Normal
e,udp,1,88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Normal
